model,AUROC,AUPRC,PA-F1
LOF,0.8423,0.8548,0.9092
GRU,0.8421,0.8386,0.9803
MLP,0.8878,0.8516,0.9532
SARIMA,0.4653,0.344,0.4835
ENS,0.8708,0.8643,0.8968
MACRO,0.8664,0.8324,0.9303
