model,AUROC,AUPRC
LOF,0.8597494188805996,0.8744241867124098
RNN,0.4513898185447066,0.32567992632305665
VAE,0.41063134109781874,0.4410235522511501
ENS,0.7729932618546329,0.7709819549293156
