model,tau,detected/total,event_recall,event_precision,event_f1,false_alarms
MLP,0.614,3/3,1.0,0.026,0.05,114
KRN,0.6028,3/3,1.0,0.032,0.062,91
LOF,0.1019,3/3,1.0,0.018,0.036,160
GRU,0.8815,3/3,1.0,0.3,0.462,7
