bin_center,mean_predicted,mean_true_severity,count
0.05,0.0442,0.1075,522
0.15,0.147,0.1098,218
0.25,0.2469,0.1025,69
0.35,0.3495,0.1034,148
0.45,0.4521,0.1051,90
0.55,0.544,0.1012,91
0.65,0.6536,0.0979,101
0.75,0.7529,0.103,54
0.85,0.8456,0.1021,69
0.95,0.984,0.1142,702
